procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0  6512   108 1152  743  1  1 96  1  0
 2  0      0 4539536  44636 4426772    0    0     0     0  951 1073  0  0 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0 1057 1313  1  2 98  0  0
 3  0      0 4539536  44636 4426772    0    0     0     0 1049 1033  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0   136 1530 1979  1  3 95  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0 1946 2266  2  7 91  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1253 1269  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  924  808  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  657  292  0  0 100  0  0
 1  1      0 4539536  44636 4426772    0    0     0   132  638  438  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0   336  662  498  1  1 98  0  0
 2  0      0 4539536  44636 4426772    0    0     0   188  734  865  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  696 1052  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  358  222  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   160  414  202  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  341  174  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1674 1763  1  4 95  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  491  463  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  409  333  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  346  188  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0  353  177  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   256  424  194  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    12  374  194  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    16  354  163  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  347  177  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  344  146  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1617 1838  1  2 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  390  233  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  384  201  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  350  176  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  337  158  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   260  400  197  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  501  413  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  405  244  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     4  375  155  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    32  381  176  0  0 100  0  0
 5  0      0 4539536  44636 4426772    0    0     0     0  962  768  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1119 1368  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  351  169  0  0 100  0  0
 3  0      0 4539536  44636 4426772    0    0     0     0  407  163  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0    12  413  169  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 4539536  44636 4426772    0    0     0    68  387  191  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0   212  471  205  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  340  151  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  371  176  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  351  161  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  362  163  0  0 100  0  0
 5  0      0 4539536  44636 4426772    0    0     0    16 1091  825  1 19 80  0  0
11  0      0 4539536  44636 4426772    0    0     0   112 1104  663  1 31 66  2  0
 4  0      0 4539536  44636 4426772    0    0     0   120 1153 1242  1 16 80  3  0
 2  0      0 4539536  44636 4426772    0    0     0    24  620  447  0  6 93  1  0
 2  0      0 4539536  44636 4426772    0    0     0     0  369  163  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0   216  467  221  0  2 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  407  193  0  1 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  344  168  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  393  166  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0    40  410  211  0  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  492  282  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  582  685  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  422  290  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1703 1952  1  3 96  0  0
 2  0      0 4539536  44636 4426772    0    0     0    12  441  346  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0    24  512  346  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0   144   188  593  436  1  1 98  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  540  619  0  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0   260  799 1038  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  384  213  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    60  425  227  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  348  195  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    12  349  163  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  433  318  1  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1636 1959  1  4 95  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  782 1416  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  363  181  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  377  190  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  373  164  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   256  446  225  0  1 99  0  0
